mode,threads,gm_name,gm_path,map_name,map_path,alg1_name,alg1_path,alg2_name,alg2_path,start_utc,end_utc,wall_ms,exit_code,max_rss_kb,stdout_len,stderr_len
comparative,4,GameManager_212788293_212497127.so,tests/GameManagers/GameManager_212788293_212497127.so,input_b.txt,tests/maps/input_b.txt,Algorithm_212788293_212497127.so,tests/Algorithms/Algorithm_212788293_212497127.so,Algorithm_212788293_212497128.so,tests/Algorithms/Algorithm_212788293_212497128.so,2025-08-22T11:22:16Z,2025-08-22T11:22:19Z,2930,0,4488,993,0
comparative,4,GameManager_212788293_212497127.so,tests/GameManagers/GameManager_212788293_212497127.so,input_b.txt,tests/maps/input_b.txt,Algorithm_212788293_212497128.so,tests/Algorithms/Algorithm_212788293_212497128.so,Algorithm_212788293_212497127.so,tests/Algorithms/Algorithm_212788293_212497127.so,2025-08-22T11:22:19Z,2025-08-22T11:22:23Z,4086,0,4488,993,0
comparative,4,GameManager_212788293_212497127.so,tests/GameManagers/GameManager_212788293_212497127.so,input_c.txt,tests/maps/input_c.txt,Algorithm_212788293_212497127.so,tests/Algorithms/Algorithm_212788293_212497127.so,Algorithm_212788293_212497128.so,tests/Algorithms/Algorithm_212788293_212497128.so,2025-08-22T11:22:24Z,2025-08-22T11:22:25Z,1109,0,4448,1845,0
comparative,4,GameManager_212788293_212497127.so,tests/GameManagers/GameManager_212788293_212497127.so,input_c.txt,tests/maps/input_c.txt,Algorithm_212788293_212497128.so,tests/Algorithms/Algorithm_212788293_212497128.so,Algorithm_212788293_212497127.so,tests/Algorithms/Algorithm_212788293_212497127.so,2025-08-22T11:22:25Z,2025-08-22T11:22:27Z,1416,0,4540,1845,0
comparative,8,GameManager_212788293_212497127.so,tests/GameManagers/GameManager_212788293_212497127.so,input_a.txt,tests/maps/input_a.txt,Algorithm_212788293_212497127.so,tests/Algorithms/Algorithm_212788293_212497127.so,Algorithm_212788293_212497128.so,tests/Algorithms/Algorithm_212788293_212497128.so,2025-08-22T11:22:27Z,2025-08-22T11:22:29Z,1474,0,4556,1330,0
comparative,8,GameManager_212788293_212497127.so,tests/GameManagers/GameManager_212788293_212497127.so,input_a.txt,tests/maps/input_a.txt,Algorithm_212788293_212497128.so,tests/Algorithms/Algorithm_212788293_212497128.so,Algorithm_212788293_212497127.so,tests/Algorithms/Algorithm_212788293_212497127.so,2025-08-22T11:22:29Z,2025-08-22T11:22:30Z,1376,0,4596,1330,0
comparative,8,GameManager_212788293_212497127.so,tests/GameManagers/GameManager_212788293_212497127.so,input_b.txt,tests/maps/input_b.txt,Algorithm_212788293_212497127.so,tests/Algorithms/Algorithm_212788293_212497127.so,Algorithm_212788293_212497128.so,tests/Algorithms/Algorithm_212788293_212497128.so,2025-08-22T11:22:31Z,2025-08-22T11:22:33Z,2252,0,4484,993,0
comparative,8,GameManager_212788293_212497127.so,tests/GameManagers/GameManager_212788293_212497127.so,input_b.txt,tests/maps/input_b.txt,Algorithm_212788293_212497128.so,tests/Algorithms/Algorithm_212788293_212497128.so,Algorithm_212788293_212497127.so,tests/Algorithms/Algorithm_212788293_212497127.so,2025-08-22T11:22:34Z,2025-08-22T11:22:36Z,2873,0,4488,993,0
comparative,8,GameManager_212788293_212497127.so,tests/GameManagers/GameManager_212788293_212497127.so,input_c.txt,tests/maps/input_c.txt,Algorithm_212788293_212497127.so,tests/Algorithms/Algorithm_212788293_212497127.so,Algorithm_212788293_212497128.so,tests/Algorithms/Algorithm_212788293_212497128.so,2025-08-22T11:22:37Z,2025-08-22T11:22:38Z,781,0,4480,1845,0
comparative,8,GameManager_212788293_212497127.so,tests/GameManagers/GameManager_212788293_212497127.so,input_c.txt,tests/maps/input_c.txt,Algorithm_212788293_212497128.so,tests/Algorithms/Algorithm_212788293_212497128.so,Algorithm_212788293_212497127.so,tests/Algorithms/Algorithm_212788293_212497127.so,2025-08-22T11:22:38Z,2025-08-22T11:22:39Z,871,0,4480,1845,0
competition,1,GameManager_212788293_212497127.so,tests/GameManagers/GameManager_212788293_212497127.so,ALL,tests/maps,ALL,tests/Algorithms,,,2025-08-22T11:22:39Z,2025-08-22T11:22:43Z,4166,0,4516,3288,0
competition,2,GameManager_212788293_212497127.so,tests/GameManagers/GameManager_212788293_212497127.so,ALL,tests/maps,ALL,tests/Algorithms,,,2025-08-22T11:22:44Z,2025-08-22T11:22:46Z,2503,0,4532,3288,0
competition,4,GameManager_212788293_212497127.so,tests/GameManagers/GameManager_212788293_212497127.so,ALL,tests/maps,ALL,tests/Algorithms,,,2025-08-22T11:22:47Z,2025-08-22T11:22:49Z,2397,0,4656,3288,0
competition,8,GameManager_212788293_212497127.so,tests/GameManagers/GameManager_212788293_212497127.so,ALL,tests/maps,ALL,tests/Algorithms,,,2025-08-22T11:22:49Z,2025-08-22T11:22:53Z,3311,0,6052,3288,0
